"","id","name","year_official","month_first_rating","year_first_rating","month_available","year_available"
"165",189932,"Tyrants of the Underdark",2016,6,2016,6,2016
"166",39463,"Cosmic Encounter",2008,12,2008,12,2008
"167",17133,"Railways of the World",2005,8,2005,10,2005
"168",249259,"War Chest",2018,7,2018,8,2018
"169",128882,"The Resistance: Avalon",2012,8,2012,10,2012
"170",268864,"Undaunted: Normandy",2019,4,2019,8,2019
"171",155426,"Castles of Mad King Ludwig",2014,3,2014,10,2014
"172",70149,"Ora et Labora",2011,5,2010,10,2011
"173",199561,"Sagrada",2017,8,2016,4,2017
"174",150376,"Dead of Winter: A Crossroads Game",2014,11,2013,8,2014
"175",103343,"A Game of Thrones: The Board Game (Second Edition)",2011,9,2011,11,2011
"176",209418,"Dominion (Second Edition)",2016,9,2016,10,2016
"177",25021,"Sekigahara: The Unification of Japan",2011,11,2006,8,2011
"178",31627,"Ticket to Ride: Nordic Countries",2007,10,2007,10,2007
"179",123260,"Suburbia",2012,4,2012,10,2012
"180",14105,"Commands & Colors: Ancients",2006,1,2006,1,2006
"181",221194,"Dinosaur Island",2017,3,2017,10,2017
"182",104006,"Village",2011,10,2011,11,2011
"183",171131,"Captain Sonar",2016,3,2016,6,2016
"184",195421,"Near and Far",2017,4,2016,5,2017
"185",12,"Ra",1999,6,2001,5,2001
"186",310873,"Carnegie",2022,10,2020,11,2020
"187",283155,"Calico",2020,7,2019,8,2020
"188",242302,"Space Base",2018,12,2017,3,2018
"189",126042,"Nations",2013,6,2012,10,2013
"190",21050,"Combat Commander: Europe",2006,9,2006,12,2006
"191",182631,"Star Realms: Colony Wars",2015,9,2015,10,2015
"192",188,"Go",-2200,6,2001,5,2001
"193",294484,"Unmatched: Cobble & Fog",2020,12,2019,6,2020
"194",245638,"Coimbra",2018,1,2018,6,2018
"195",148228,"Splendor",2014,1,2014,2,2014
"196",283355,"Dune",2019,7,2019,7,2019
"197",91,"Paths of Glory",1999,5,2001,5,2001
"198",306735,"Under Falling Skies",2020,5,2020,10,2020
"199",215,"Tichu",1991,6,2001,5,2001
"200",822,"Carcassonne",2000,5,2001,5,2001
"201",224037,"Codenames: Duet",2017,4,2017,6,2017
"202",304783,"Hadrian's Wall",2021,5,2020,4,2021
"203",329082,"Radlands",2021,1,2021,10,2021
"204",146886,"La Granja",2014,4,2014,7,2014
"205",9209,"Ticket to Ride",2004,3,2004,3,2004
"206",223321,"Detective: A Modern Crime Board Game",2018,1,2018,7,2018
"207",7854,"YINSH",2003,10,2003,10,2003
"208",54998,"Cyclades",2009,10,2009,10,2009
"209",318977,"MicroMacro: Crime City",2020,9,2020,9,2020
"210",227224,"The Red Cathedral",2020,5,2017,10,2020
"211",300531,"Paleo",2020,9,2020,10,2020
"212",129437,"Legendary: A Marvel Deck Building Game",2012,9,2012,11,2012
"213",118,"Modern Art",1992,6,2001,5,2001
"214",293014,"Nidavellir",2020,11,2019,2,2020
"215",188834,"Secret Hitler",2016,11,2015,12,2015
"216",176189,"Zombicide: Black Plague",2015,4,2015,12,2015
"217",239188,"Chronicles of Crime",2018,1,2018,9,2018
"218",271896,"Star Wars: Outer Rim",2019,2,2019,4,2019
"219",109276,"Kanban: Driver's Edition",2014,10,2011,10,2014
"220",235802,"Too Many Bones: Undertow",2018,10,2017,8,2018
"221",169426,"Roll Player",2016,11,2015,9,2016
"222",156129,"Deception: Murder in Hong Kong",2014,5,2014,10,2015
"223",232832,"Century: Golem Edition",2017,8,2017,8,2017
"224",158600,"Hanamikoji",2013,12,2014,10,2016
"225",555,"The Princes of Florence",2000,6,2001,5,2001
"226",9216,"Goa",2004,4,2004,4,2004
"227",194655,"Santorini",2016,3,2016,11,2016
"228",192291,"Sushi Go Party!",2016,4,2016,6,2016
"229",285967,"Ankh: Gods of Egypt",2021,8,2019,5,2021
"230",146508,"T.I.M.E Stories",2015,3,2014,9,2015
"231",199478,"Flamme Rouge",2016,5,2016,10,2016
"232",295486,"My City",2020,1,2020,4,2020
