"","ID","Name","Year","Rank","Average","Bayes.average","Users.rated"
"440",226522,"Exit: The Game – Dead Man on the Orient Express",2017,440,7.63,6.974,4132
"441",136063,"Forbidden Desert",2013,441,7.11,6.974,28440
"442",264241,"Mandala",2019,442,7.6,6.974,4308
"443",233312,"Stuffed Fables",2018,443,7.5,6.973,5994
"444",128996,"1775: Rebellion",2013,444,7.65,6.971,4025
"445",277085,"Love Letter",2019,445,7.56,6.97,5136
"446",262211,"Cloudspire",2019,446,8.21,6.97,2476
"447",256680,"Return to Dark Tower",2022,447,8.45,6.97,2173
"448",158899,"Colt Express",2014,448,7.1,6.969,28356
"449",299659,"Clash of Cultures: Monumental Edition",2021,449,8.51,6.969,1867
"450",177639,"Raptor",2015,450,7.28,6.967,9116
"451",62227,"Labyrinth: The War on Terror, 2001 – ?",2010,451,7.59,6.966,4662
"452",162082,"Deus",2014,452,7.29,6.964,8216
"453",478,"Citadels",2000,453,7.07,6.964,51542
"454",274638,"Unmatched: Robin Hood vs. Bigfoot",2019,454,8.06,6.963,2673
"455",98778,"Hanabi",2010,455,7.06,6.963,43540
"456",15062,"Shadows over Camelot",2005,456,7.11,6.96,26585
"457",20437,"Lords of Vegas",2010,457,7.34,6.96,7096
"458",205398,"Citadels",2016,458,7.28,6.959,10630
"459",43570,"Friday",2011,459,7.13,6.956,19027
"460",144189,"Fire in the Lake",2014,460,8.06,6.955,2531
"461",193042,"Junk Art",2016,461,7.39,6.953,6466
"462",232414,"Oceans",2020,462,7.55,6.953,4924
"463",13,"CATAN",1995,463,7.12,6.952,113323
"464",240196,"Betrayal Legacy",2018,464,7.71,6.95,4130
"465",95527,"Madeira",2013,465,7.57,6.949,4239
"466",119506,"Freedom: The Underground Railroad",2012,466,7.57,6.948,4199
"467",290236,"Canvas",2021,467,7.42,6.948,6420
"468",258210,"Blitzkrieg!: World War Two in 20 Minutes",2019,468,7.66,6.947,3761
"469",191862,"Imhotep",2016,469,7.16,6.947,14003
"470",206941,"First Class: All Aboard the Orient Express!",2016,470,7.44,6.946,5352
"471",269144,"Hadara",2019,471,7.45,6.945,5425
"472",65781,"London",2010,472,7.34,6.945,6428
"473",245654,"Railroad Ink: Deep Blue Edition",2018,473,7.23,6.945,10343
"474",97786,"Small World Underground",2011,474,7.25,6.945,10431
"475",105551,"Archipelago",2012,475,7.32,6.944,7821
"476",123123,"BattleCON: Devastation of Indines",2013,476,7.86,6.943,3136
"477",12942,"No Thanks!",2004,477,7.07,6.943,23390
"478",144797,"Argent: The Consortium",2015,478,7.67,6.942,3686
"479",180974,"Potion Explosion",2015,479,7.14,6.941,16473
"480",17405,"1846: The Race for the Midwest",2005,480,7.95,6.941,2552
"481",171668,"The Grizzled",2015,481,7.16,6.94,13594
"482",262215,"Blackout: Hong Kong",2018,482,7.47,6.94,5028
"483",127398,"Legends of Andor",2012,483,7.16,6.939,17222
"484",21790,"Thurn and Taxis",2006,484,7.1,6.938,19074
"485",36553,"Time's Up! Title Recall!",2008,485,7.7,6.938,3392
"486",221965,"The Fox in the Forest",2017,486,7.17,6.938,12416
"487",125618,"Libertalia",2012,487,7.14,6.936,13445
"488",31999,"TZAAR",2007,488,7.67,6.934,3533
