"","ID","Name","Year","Rank","Average","Bayes.average","Users.rated"
"377",204305,"Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures",2016,377,7.65,7.05,5286
"378",236191,"London (Second Edition)",2017,378,7.54,7.049,6085
"379",166669,"San Juan (Second Edition)",2014,379,7.48,7.049,6811
"380",71,"Civilization",1980,380,7.5,7.047,7334
"381",154809,"Nippon",2015,381,7.66,7.045,4697
"382",40765,"Clash of Cultures",2012,382,7.59,7.044,5592
"383",186751,"Mythic Battles: Pantheon",2017,383,8.38,7.043,2948
"384",194594,"Dice Forge",2017,384,7.25,7.042,19148
"385",15987,"Arkham Horror",2005,385,7.25,7.041,38418
"386",198773,"Codenames: Pictures",2016,386,7.21,7.041,20297
"387",170771,"Sword & Sorcery",2017,387,7.94,7.04,4508
"388",121,"Dune",1979,388,7.61,7.037,5729
"389",161614,"Stockpile",2015,389,7.5,7.036,6483
"390",54625,"Space Hulk (Third Edition)",2009,390,7.53,7.034,6956
"391",36932,"Claustrophobia",2009,391,7.49,7.034,6892
"392",243,"Advanced Squad Leader",1985,392,8.01,7.034,3712
"393",372,"Schotten Totten",1999,393,7.34,7.033,9832
"394",256680,"Return to Dark Tower",2022,394,8.35,7.031,2612
"395",55670,"Macao",2009,395,7.42,7.03,7273
"396",229220,"Santa Maria",2017,396,7.5,7.029,6316
"397",124708,"Mice and Mystics",2012,397,7.26,7.028,18506
"398",301880,"Raiders of Scythia",2020,398,7.83,7.028,3886
"399",138161,"Firefly: The Game",2013,399,7.39,7.028,11422
"400",318084,"Furnace",2020,400,7.46,7.026,6911
"401",128671,"Spartacus: A Game of Blood and Treachery",2012,401,7.47,7.025,8189
"402",251658,"Sprawlopolis",2018,402,7.39,7.025,8402
"403",66188,"Fresco",2010,403,7.26,7.024,12662
"404",63628,"The Manhattan Project",2012,404,7.34,7.024,9636
"405",150145,"Skull King",2013,405,7.48,7.024,6864
"406",246684,"Smartphone Inc.",2018,406,7.62,7.023,4860
"407",318184,"Imperium: Classics",2021,407,7.77,7.023,4247
"408",323612,"Bitoku",2021,408,7.93,7.023,3395
"409",215341,"Thunderstone Quest",2018,409,7.82,7.023,3975
"410",151347,"Millennium Blades",2016,410,7.7,7.021,4603
"411",92415,"Skull",2011,411,7.2,7.019,19352
"412",34219,"Biblios",2007,412,7.2,7.018,16811
"413",100901,"Flash Point: Fire Rescue",2011,413,7.18,7.018,23049
"414",291453,"SCOUT",2019,414,7.72,7.017,4045
"415",202426,"Sidereal Confluence",2017,415,7.79,7.015,3813
"416",262543,"Wavelength",2019,416,7.35,7.013,9210
"417",277085,"Love Letter",2019,417,7.54,7.011,5975
"418",27162,"Kingsburg",2007,418,7.18,7.009,19186
"419",270844,"Imperial Settlers: Empires of the North",2019,419,7.49,7.005,6229
"420",11170,"Heroscape Master Set: Rise of the Valkyrie",2004,420,7.44,7.004,8090
"421",66362,"Glen More",2010,421,7.31,7.004,9058
"422",96913,"Lancaster",2011,422,7.4,7.004,7158
"423",79828,"A Few Acres of Snow",2011,423,7.38,7.003,7773
"424",262211,"Cloudspire",2019,424,8.21,7,2683
"425",176396,"Quadropolis",2016,425,7.25,6.999,12363
"426",192153,"Pandemic: Reign of Cthulhu",2016,426,7.38,6.998,9375
"427",298069,"Cubitos",2021,427,7.51,6.996,5793
"428",274960,"Point Salad",2019,428,7.21,6.995,15212
"429",18833,"Lord of the Rings: The Confrontation",2005,429,7.48,6.995,6092
"430",197376,"Charterstone",2017,430,7.26,6.992,13787
"431",150,"PitchCar",1995,431,7.27,6.99,10450
"432",293141,"King of Tokyo: Dark Edition",2020,432,7.74,6.989,4151
"433",137408,"Amerigo",2013,433,7.45,6.986,5942
"434",258210,"Blitzkrieg!: World War Two in 20 Minutes",2019,434,7.65,6.986,4196
"435",15985,"Blood Bowl: Living Rulebook",2004,435,7.84,6.985,3416
"436",171,"Chess",1475,436,7.17,6.985,33123
"437",256730,"Pipeline",2019,437,7.64,6.984,4357
"438",25417,"BattleLore",2006,438,7.36,6.983,9251
"439",264241,"Mandala",2019,439,7.58,6.983,4656
"440",194607,"Mystic Vale",2016,440,7.27,6.982,10858
"441",305096,"Endless Winter: Paleoamericans",2022,441,7.95,6.981,3202
"442",150658,"Pandemic: The Cure",2014,442,7.27,6.981,10213
"443",105134,"Risk Legacy",2011,443,7.39,6.977,8148
"444",274638,"Unmatched: Robin Hood vs. Bigfoot",2019,444,8.01,6.977,2952
"445",62222,"Commands & Colors: Napoleonics",2010,445,8.01,6.977,2928
"446",169427,"Middara: Unintentional Malum – Act 1",2019,446,8.69,6.976,2116
"447",260180,"Project L",2020,447,7.52,6.976,5483
"448",156858,"Black Orchestra",2016,448,7.51,6.976,5624
"449",5404,"Amun-Re",2003,449,7.3,6.975,8942
"450",157969,"Sheriff of Nottingham",2014,450,7.1,6.971,33358
"451",233312,"Stuffed Fables",2018,451,7.49,6.97,6269
"452",295374,"Long Shot: The Dice Game",2022,452,7.79,6.97,3388
"453",17226,"Descent: Journeys in the Dark",2005,453,7.29,6.969,11607
"454",226522,"Exit: The Game – Dead Man on the Orient Express",2017,454,7.61,6.969,4324
"455",146791,"Shadows of Brimstone: City of the Ancients",2014,455,7.96,6.969,3734
"456",83330,"Mansions of Madness",2011,456,7.28,6.968,13343
"457",290236,"Canvas",2021,457,7.39,6.968,7714
"458",136063,"Forbidden Desert",2013,458,7.1,6.966,28944
"459",712,"Blood Bowl (Third Edition)",1994,459,7.54,6.966,5483
"460",158899,"Colt Express",2014,460,7.1,6.963,29096
"461",128996,"1775: Rebellion",2013,461,7.65,6.962,4077
"462",162082,"Deus",2014,462,7.29,6.961,8376
"463",478,"Citadels",2000,463,7.07,6.959,52158
"464",177639,"Raptor",2015,464,7.27,6.959,9354
"465",98778,"Hanabi",2010,465,7.06,6.957,44402
"466",144189,"Fire in the Lake",2014,466,8.06,6.957,2600
"467",62227,"Labyrinth: The War on Terror, 2001 – ?",2010,467,7.59,6.957,4731
"468",205398,"Citadels",2016,468,7.28,6.956,11209
"469",20437,"Lords of Vegas",2010,469,7.34,6.956,7193
"470",15062,"Shadows over Camelot",2005,470,7.1,6.955,26806
"471",232414,"Oceans",2020,471,7.52,6.953,5321
"472",284742,"Honey Buzz",2020,472,7.7,6.951,3872
"473",240196,"Betrayal Legacy",2018,473,7.7,6.949,4296
"474",43570,"Friday",2011,474,7.12,6.948,19508
"475",269144,"Hadara",2019,475,7.44,6.947,5723
"476",193042,"Junk Art",2016,476,7.38,6.946,6664
"477",12942,"No Thanks!",2004,477,7.07,6.946,24067
"478",13,"CATAN",1995,478,7.12,6.944,115751
"479",245654,"Railroad Ink: Deep Blue Edition",2018,479,7.21,6.942,10931
"480",191862,"Imhotep",2016,480,7.16,6.941,14378
"481",17405,"1846: The Race for the Midwest",2005,481,7.95,6.941,2641
"482",119506,"Freedom: The Underground Railroad",2013,482,7.57,6.941,4253
"483",180974,"Potion Explosion",2015,483,7.14,6.941,17078
"484",262215,"Blackout: Hong Kong",2018,484,7.46,6.939,5245
"485",206941,"First Class: All Aboard the Orient Express!",2016,485,7.43,6.939,5445
"486",95527,"Madeira",2013,486,7.57,6.939,4295
"487",97786,"Small World Underground",2011,487,7.25,6.938,10543
"488",65781,"London",2010,488,7.34,6.937,6460
"489",144797,"Argent: The Consortium",2015,489,7.66,6.937,3795
"490",21790,"Thurn and Taxis",2006,490,7.09,6.934,19271
"491",11,"Bohnanza",1997,491,7.04,6.933,42512
"492",256952,"Zombie Kidz Evolution",2018,492,7.7,6.933,3874
"493",36553,"Time's Up! Title Recall!",2008,493,7.7,6.931,3443
"494",171668,"The Grizzled",2015,494,7.16,6.931,13827
"495",127398,"Legends of Andor",2012,495,7.15,6.931,17622
"496",105551,"Archipelago",2012,496,7.31,6.93,7907
"497",221965,"The Fox in the Forest",2017,497,7.15,6.93,13076
"498",156009,"Port Royal",2014,498,7.13,6.929,15911
"499",125618,"Libertalia",2012,499,7.14,6.929,13655
"500",123123,"BattleCON: Devastation of Indines",2013,500,7.85,6.928,3179
"501",142379,"Escape Plan",2019,501,7.54,6.928,4609
"502",175095,"Dawn of the Zeds (Third Edition)",2016,502,8.18,6.927,2284
"503",9674,"Ingenious",2004,503,7.11,6.926,16545
"504",329839,"So Clover!",2021,504,7.58,6.924,3983
"505",31999,"TZAAR",2007,505,7.66,6.924,3589
"506",216600,"Fantastic Factories",2019,506,7.5,6.924,4860
"507",133848,"Euphoria: Build a Better Dystopia",2013,507,7.21,6.923,10337
"508",875,"Roads & Boats",1999,508,7.72,6.923,3284
"509",90419,"Airlines Europe",2011,509,7.3,6.923,7215
"510",332800,"Summoner Wars (Second Edition)",2021,510,8.24,6.923,2234
"511",247367,"Air, Land, & Sea",2019,511,7.49,6.921,4768
"512",343905,"Boonlake",2021,512,7.74,6.92,3275
"513",102652,"Sentinels of the Multiverse",2011,513,7.17,6.917,15627
"514",163968,"Elysium",2015,514,7.21,6.916,9343
"515",6249,"Alhambra",2003,515,7.03,6.915,31702
"516",147949,"One Night Ultimate Werewolf",2014,516,7.09,6.915,25156
"517",31730,"Chicago Express",2007,517,7.25,6.915,7993
"518",366013,"Heat: Pedal to the Metal",2022,518,8.15,6.915,2396
"519",18,"RoboRally",1994,519,7.07,6.914,23355
"520",58421,"Egizia",2009,520,7.4,6.913,5356
"521",133473,"Sushi Go!",2013,521,7.02,6.912,41741
"522",27173,"Vikings",2007,522,7.24,6.91,8272
"523",42052,"Vinhos",2010,523,7.48,6.909,4725
"524",91312,"Discworld: Ankh-Morpork",2011,524,7.24,6.908,10014
"525",252328,"Star Wars: X-Wing (Second Edition)",2018,525,8.12,6.907,2553
"526",232043,"Queendomino",2017,526,7.2,6.907,9930
