"","rank","id","name","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"886",886,248065,"Zombicide: Invader",2109,1516,593,144,297,1812,7.83309730203888,8.18604037598945,6.93080101180438,7.10079861111111,7.76577441077441,7.84413201434879,37
"887",887,212402,"The Grimm Forest",5290,3317,1973,509,717,4573,7.10759491304348,7.52970558637323,6.39794407501267,6.42870333988212,7.04047884239888,7.11811803192653,55
"888",888,25669,"Qwirkle",18020,12514,5506,1291,2780,15240,6.77635338790233,7.0161460540195,6.23135421903378,6.11912573973664,6.6973367266187,6.79076718832021,185
"889",889,197405,"Tak",2470,1643,827,131,433,2037,7.59873215789474,8.01182943396227,6.77803224909311,6.43687022900763,7.80455577367206,7.55498074619539,67
"890",890,125678,"DC Comics Deck-Building Game",6904,4248,2656,663,1124,5780,7.03400628476246,7.53043033427495,6.2400268561747,6.31698340874812,6.92857384341637,7.05450906401384,116
"891",891,264052,"Circadians: First Light",2096,1219,877,288,327,1769,7.61137865935114,8.01837544708778,7.04566704675029,6.96319444444445,7.53116819571865,7.6262055794234,36
"892",892,199966,"Kingsburg (Second Edition)",2522,1560,962,286,275,2247,7.44458952815226,7.78206516666667,6.89733173596673,6.72394101398601,7.35152727272727,7.45597898976413,57
"893",893,318009,"Dinosaur Island: Rawr 'n Write",1738,1297,441,60,250,1488,7.85787609896433,8.09985761757903,7.14619802721089,6.77633333333333,7.769328,7.87275313172043,11
"894",894,266164,"Babylonia",1860,1079,781,151,402,1458,7.67840358064516,8.1429372845227,7.0366214212548,6.9569536423841,7.83069651741294,7.63641334705075,34
"895",895,154086,"Gold West",2847,1317,1530,406,472,2375,7.32509011239901,7.84778996203493,6.87515828104575,7.04340640394089,7.3513093220339,7.31987938947369,82
"896",896,207243,"The City of Kings",2345,1462,883,399,392,1953,7.62063981663113,8.18035973324213,6.69390083805209,6.63732107769423,7.32707482142857,7.67956325652841,53
"897",897,267319,"Roam",2890,1971,919,194,376,2514,7.35093192387543,7.64701281582953,6.71592056583243,6.56001716494845,7.51643617021277,7.32617870326173,34
"898",898,242804,"Lowlands",2597,1296,1301,302,365,2232,7.41113528301887,7.94989068672839,6.87445042275173,6.80473509933775,7.37151597260274,7.41761424731183,52
"899",899,19600,"Antike",4659,1890,2769,621,1314,3345,7.08889729555699,7.65503297883598,6.70247749006862,6.71425120772947,6.98464535768645,7.12985007473841,202
"900",900,298065,"Santa Monica",3097,1975,1122,339,377,2720,7.29797488537294,7.62879128101266,6.71565547237077,6.64682005899705,7.26748893899204,7.30220032720588,28
"901",901,112,"Condottiere",9394,5251,4143,1080,2053,7341,6.86262847668725,7.2852595391354,6.32696936278059,6.25610185185185,6.82515294690696,6.8731089647187,255
"902",902,284777,"Unmatched: Jurassic Park – InGen vs Raptors",1397,1134,263,62,129,1268,8.18125506800286,8.32156378306878,7.57627376425855,7.23870967741936,7.99379844961241,8.20032597003154,27
"903",903,66505,"The Speicherstadt",4954,2052,2902,703,1010,3944,7.03448849616471,7.55370614035088,6.66735045141282,6.86484779516358,6.97636930693069,7.04937195993915,148
"904",904,326494,"The Adventures of Robin Hood",2013,1422,591,195,230,1783,7.68198098857427,7.94188933192686,7.05661776649746,6.85497435897436,7.57908695652174,7.69525391475042,17
"905",905,171669,"Discoveries: The Journals of Lewis & Clark",4714,2403,2311,881,696,4018,7.04941587187103,7.48420876820641,6.59731404154046,6.61770715096481,6.98655352011494,7.06030492035839,86
"906",906,95064,"Ascension: Return of the Fallen",3260,1808,1452,447,483,2777,7.28393599386503,7.61621755530974,6.87018595041322,6.97080536912752,7.17591028985507,7.30272476413396,133
"907",907,554,"La Città",5174,2707,2467,807,1350,3824,7.02495669308079,7.45452571481345,6.55359741386299,6.5533209417596,7.04351407407407,7.0184053164226,254
